Test_Case,True_Label
1.wav,0
2.wav,0
3.wav,1
4.wav,1
5.wav,0
6.wav,2
7.wav,4
8.wav,0
9.wav,0
10.wav,1
11.wav,4
12.wav,2
13.wav,0
14.wav,0
15.wav,0
16.wav,4
17.wav,0
18.wav,0
19.wav,0
20.wav,4
21.wav,0
22.wav,2
23.wav,0
24.wav,2
25.wav,2
26.wav,4
27.wav,2
28.wav,4
29.wav,2
30.wav,2
31.wav,0
32.wav,3
33.wav,3
34.wav,2
35.wav,2
36.wav,3
37.wav,0
38.wav,4
39.wav,4
40.wav,1
41.wav,4
42.wav,1
43.wav,0
44.wav,1
45.wav,0
46.wav,0
47.wav,0
48.wav,1
49.wav,2
50.wav,2
51.wav,1
52.wav,0
53.wav,0
54.wav,2
55.wav,2
56.wav,0
57.wav,4
58.wav,5
59.wav,4
60.wav,4
61.wav,2
62.wav,4
63.wav,0
64.wav,4
65.wav,3
66.wav,2
67.wav,0
68.wav,4
69.wav,0
70.wav,0
71.wav,1
72.wav,4
73.wav,0
74.wav,3
75.wav,3
76.wav,0
77.wav,0
78.wav,2
79.wav,2
80.wav,0
81.wav,0
82.wav,0
83.wav,2
84.wav,3
85.wav,4
86.wav,0
87.wav,0
88.wav,0
89.wav,0
90.wav,2
91.wav,4
92.wav,2
93.wav,4
94.wav,2
95.wav,2
96.wav,2
97.wav,2
98.wav,4
99.wav,2
100.wav,4
101.wav,0
102.wav,2
103.wav,2
104.wav,1
105.wav,0
106.wav,0
107.wav,4
108.wav,4
109.wav,0
110.wav,5
111.wav,4
112.wav,0
113.wav,0
114.wav,4
115.wav,1
116.wav,0
117.wav,1
118.wav,4
119.wav,0
120.wav,2
121.wav,0
122.wav,4
123.wav,0
124.wav,4
125.wav,2
126.wav,4
127.wav,2
128.wav,4
129.wav,2
130.wav,0
131.wav,4
132.wav,2
133.wav,0
134.wav,0
135.wav,1
136.wav,2
137.wav,4
138.wav,2
139.wav,2
140.wav,2
141.wav,4
142.wav,2
143.wav,0
144.wav,4
145.wav,3
146.wav,4
147.wav,4
148.wav,2
149.wav,4
150.wav,2
151.wav,4
152.wav,2
153.wav,4
154.wav,2
155.wav,0
156.wav,1
157.wav,3
158.wav,2
159.wav,4
160.wav,5
161.wav,2
162.wav,0
163.wav,3
164.wav,2
